종목명,현재가,전일비,등락률,NAV,3개월수익률,거래량,거래대금(백만)
PLUS 코스피50,"29,500",290,+0.99%,"29,462",+29.30%,"9,944",292
KODEX 게임산업,"7,360",30,+0.41%,"7,343",+13.29%,"45,890",336
HANARO 글로벌피지컬AI액티브,"13,025",90,+0.70%,"13,020",N/A,"199,738","2,604"
TIGER 차이나AI소프트웨어,"10,845",50,-0.46%,"10,992",N/A,"57,515",627
TIGER AI코리아그로스액티브,"16,190",30,+0.19%,"16,224",+29.85%,"16,231",263
HANARO Fn K-푸드,"12,810",10,-0.08%,"12,816",+9.40%,"75,059",957
KODEX 차이나A50,"22,410",75,+0.34%,"22,434",+6.89%,605,13
KODEX 국채선물3년인버스,"55,525",0,0.00%,"55,520",+1.06%,0,0
PLUS KOFR금리,"107,970",10,+0.01%,"107,984",+0.63%,851,91
TIGER 미국나스닥100ETF선물,"11,080",50,-0.45%,"11,020",+22.71%,"2,567",28
KoAct 미국천연가스인프라액티브,"9,220",180,+1.99%,"9,171",+2.73%,"67,688",622
ACE 일본TOPIX레버리지(H),"44,220",80,-0.18%,"44,319",+23.85%,51,2
HK 200,"44,210",290,+0.66%,"44,383",+31.34%,"15,697",694
TIGER 은행,"12,680",15,+0.12%,"12,700",+46.57%,"345,211","4,362"
KIWOOM 글로벌AI반도체,"18,270",235,-1.27%,"18,160",+49.57%,"10,065",183
KODEX 미국나스닥100선물인버스(..,"6,905",0,0.00%,"6,920",-20.36%,"88,573",611
KODEX IT,"18,110",130,+0.72%,"18,128",+26.85%,"11,906",215
ACE 미국배당퀄리티+커버드콜액..,"10,535",10,-0.09%,"10,491",N/A,"82,705",871
TIGER TSMC파운드리밸류체인,"17,240",195,-1.12%,"17,165",+39.45%,"6,001",103
RISE 차이나항셍테크,"8,365",85,+1.03%,"8,368",+10.70%,"765,186","6,415"
KODEX iShares미국투자등급회사..,"11,155",15,-0.13%,"11,126",+0.55%,"10,310",115
KODEX 53-09 국고채액티브,"12,225",5,+0.04%,"12,236",-4.68%,"6,441",78
SOL 국고채3년,"103,250",40,+0.04%,"103,265",+0.16%,"1,137",117
KIWOOM 미국성장기업30액티브,"15,742",107,+0.68%,"15,681",+22.39%,"1,059",16
PLUS 미국S&P500,"16,205",60,-0.37%,"16,158",+16.66%,"4,205",68
TIGER 미국AI반도체팹리스,"13,075",85,-0.65%,"12,987",+50.81%,"42,552",555
TIGER 미국방산TOP10,"10,985",90,-0.81%,"10,973",+11.14%,"52,937",581
ACE 차이나항셍테크,"8,295",100,+1.22%,"8,306",+10.00%,"57,788",477
KCGI 미국S&P500 TOP10,"12,895",0,0.00%,"12,857",+27.74%,"4,552",58
PLUS 애플채권혼합,"12,075",90,-0.74%,"12,182",+1.83%,"18,049",219
KODEX 인도Nifty미드캡100,"11,065",85,-0.76%,"11,146",+8.99%,"13,594",150
KODEX 테슬라밸류체인FactSet,"15,585",165,+1.07%,"15,558",+28.23%,"8,790",137
KODEX 차이나AI테크액티브,"13,025",100,+0.77%,"12,962",+15.14%,"17,396",226
ACE FTSE WGBI Korea,"100,770",200,+0.20%,"100,750",-2.27%,2,0
BNK 주주가치액티브,"18,320",30,+0.16%,"18,305",+29.81%,"1,419",25
KODEX KRX300레버리지,"19,725",275,+1.41%,"19,827",+67.96%,"1,279",25
SOL 반도체전공정,"8,740",65,-0.74%,"8,750",+23.32%,"21,853",190
KODEX 웹툰&드라마,"3,515",25,+0.72%,"3,511",+19.11%,"55,337",194
TIGER 모멘텀,"45,150",190,+0.42%,"45,150",+36.92%,"137,205","6,169"
KODEX S&P글로벌인프라(합성),"19,925",100,+0.50%,"19,891",+4.95%,"6,029",120
RISE 200금융,"16,075",95,-0.59%,"16,147",+47.31%,"34,104",549
KIWOOM 팔란티어미국30년국채혼..,"10,340",5,-0.05%,"10,416",+7.68%,"32,202",332
파워 코스피100,"32,925",240,+0.73%,"33,004",+30.98%,566,18
PLUS 일본엔화초단기국채(합성),"10,050",15,+0.15%,"10,059",-6.69%,"39,780",399
PLUS 미국다우존스고배당주(합성..,"17,610",80,+0.46%,"17,719",+7.35%,"3,768",66
RISE 200고배당커버드콜ATM,"9,675",85,-0.87%,"9,716",+18.46%,"39,839",385
UNICORN SK하이닉스밸류체인액티..,"12,295",35,+0.29%,"12,298",+39.87%,"56,087",688
HANARO 글로벌럭셔리S&P(합성),"20,370",30,+0.15%,"20,405",+17.10%,"1,463",29
HANARO 고배당,"17,655",185,-1.04%,"17,682",+34.07%,"28,015",496
RISE 글로벌주식분산액티브,"14,700",15,-0.10%,"14,672",+13.45%,"12,187",179
TIMEFOLIO 미국배당다우존스액티..,"10,360",55,-0.53%,"10,330",N/A,"218,035","2,261"
PLUS 미국배당증가성장주데일리..,"9,245",10,-0.11%,"9,218",+9.60%,"13,136",121
에셋플러스 코리아플랫폼액티브,"8,340",40,-0.48%,"8,384",+24.06%,"3,294",27
TIGER 리츠부동산인프라채권,"4,730",10,+0.21%,"4,725",+1.81%,"6,859",32
KODEX 자율주행액티브,"8,135",20,+0.25%,"8,132",+19.64%,"9,847",80
ACE 미국달러단기채권액티브,"11,580",40,-0.34%,"11,573",-0.98%,"39,711",460
파워 K-주주가치액티브,"13,240",20,+0.15%,"13,242",+32.48%,496,6
KODEX 필수소비재,"8,520",115,-1.33%,"8,549",+25.91%,"96,065",819
PLUS 국고채30년액티브,"115,915",50,+0.04%,"115,899",-4.85%,125,14
KODEX 200가치저변동,"14,175",140,+1.00%,"14,139",+31.40%,"77,559","1,096"
PLUS 우량회사채50,"120,910",20,+0.02%,"120,909",+0.59%,869,105
HANARO Fn전기&수소차,"8,060",95,+1.19%,"8,041",+24.69%,"7,854",62
VITA MZ소비액티브,"11,220",45,+0.40%,"11,227",+20.29%,"24,819",278
TIGER 원유선물Enhanced(H),"4,255",30,-0.70%,"4,243",+9.17%,"20,273",86
ACE 미국IT인터넷S&P(합성 H),"20,975",80,+0.38%,"21,038",+24.49%,"2,487",51
TIGER 코스닥150선물인버스,"3,405",10,+0.29%,"3,403",-14.59%,"34,557",117
SOL 팔란티어미국채커버드콜혼합,"11,080",60,-0.54%,"11,036",N/A,"208,130","2,310"
에셋플러스 차이나일등기업포커..,"15,975",225,-1.39%,"15,920",+21.48%,"4,054",65
RISE 미국반도체NYSE,"16,605",5,-0.03%,"16,517",+43.83%,"21,524",356
WON 반도체밸류체인액티브,"11,450",30,+0.26%,"11,478",+38.01%,"7,648",87
ACE 아시아TOP50S&P,"19,450",30,+0.15%,"19,513",+21.79%,"2,897",56
RISE 미국고정배당우선증권,"11,395",0,0.00%,"11,377",+2.01%,"19,055",215
HANARO 코스닥150,"13,735",25,-0.18%,"13,793",+16.91%,"8,348",114
1Q 차이나H(H),"16,450",200,+1.23%,"16,416",+15.37%,"4,355",71
RISE 삼성그룹Top3채권혼합,"10,145",15,+0.15%,"10,162",+3.53%,"37,139",376
PLUS 국채선물3년,"57,140",0,0.00%,"57,166",+0.13%,0,0
KIWOOM 코스닥150,"6,815",10,-0.15%,"6,863",+16.87%,"4,306",29
DAISHIN343 AI반도체&인프라액티..,"9,495",30,+0.32%,"9,535",+27.39%,"2,460",23
TIGER KEDI혁신기업ESG30,"11,955",5,+0.04%,"11,996",+22.30%,"11,669",139
TIGER 차이나클린에너지SOLACTIV..,"5,820",5,+0.09%,"5,924",+5.44%,"5,290",30
RISE 미국S&P원유생산기업(합성 ..,"5,830",80,+1.39%,"5,810",+13.86%,"60,420",351
RISE 테슬라미국채타겟커버드콜..,"8,905",20,+0.23%,"8,905",+4.92%,"13,103",116
KODEX 차이나과창판STAR50(합성),"7,965",105,-1.30%,"8,182",-0.86%,"5,228",42
TRUSTON 코리아밸류업액티브,"13,085",10,-0.08%,"13,126",+33.83%,"2,056",26
RISE 채권혼합,"66,000",60,+0.09%,"66,103",+8.46%,609,40
ACE 러시아MSCI(합성),"8,535",0,0.00%,49,0.00%,0,0
TIGER 글로벌멀티에셋TIF액티브,"11,145",15,+0.13%,"11,100",+3.53%,"16,131",179
RISE 팔란티어고정테크100,"11,995",35,-0.29%,"11,911",N/A,"68,778",825
ACE 미국배당퀄리티채권혼합50,"10,360",25,-0.24%,"10,348",N/A,"14,933",154
ACE 레버리지,"10,360",145,+1.42%,"10,361",+71.11%,"76,859",794
ACE 일본반도체,"11,915",20,+0.17%,"11,965",+19.67%,"2,022",24
KODEX 코스피대형주,"15,475",160,+1.04%,"15,482",+28.63%,"6,544",101
RISE 바이오TOP10액티브,"12,360",205,-1.63%,"12,336",+18.31%,"68,970",848
KIWOOM 25-09 미국채권(AA-이상)..,"54,635",165,-0.30%,"54,625",-1.07%,885,48
ACE 글로벌AI맞춤형반도체,"12,230",65,-0.53%,"12,155",+45.33%,"15,591",190
RISE V&S셀렉트밸류채권혼합,"12,720",40,+0.32%,"12,725",+10.36%,"4,433",56
KODEX 기계장비,"10,980",375,+3.54%,"10,954",+38.48%,"50,839",550
RISE 미국S&P배당킹,"10,750",25,-0.23%,"10,719",+1.66%,"6,843",73
KODEX 미국ETF산업Top10 Indxx,"17,640",90,-0.51%,"17,602",+10.80%,"18,480",325
RISE 헬스케어채권혼합,"12,475",85,-0.68%,"12,478",+4.93%,"11,210",140
TIMEFOLIO 글로벌소비트렌드액티..,"11,495",5,+0.04%,"11,511",+22.76%,"4,384",50
KODEX 200 중소형,"18,610",10,+0.05%,"18,558",+39.21%,"10,936",202
KIWOOM 미국달러선물레버리지,"14,840",95,-0.64%,"14,821",-2.92%,67,0
KODEX 미국S&P500유틸리티,"13,485",125,+0.94%,"13,616",+3.59%,"2,528",34
TIGER K게임,"7,595",10,-0.13%,"7,612",+14.79%,"7,678",58
PLUS 미국테크TOP10레버리지(합..,"29,495",45,-0.15%,"29,274",+73.82%,"3,438",101
KODEX 미국S&P바이오(합성),"25,900",590,-2.23%,"25,773",+12.94%,"5,931",153
PLUS TDF2060액티브,"15,710",5,+0.03%,"15,639",+14.51%,"23,947",376
SOL 의료기기소부장Fn,"13,160",110,+0.84%,"13,125",+16.67%,"24,420",318
TIGER 농산물선물Enhanced(H),"5,350",50,+0.94%,"5,350",-6.44%,"11,374",60
PLUS 태양광&ESS,"16,990",425,+2.57%,"16,964",+61.45%,"48,999",825
SOL 반도체후공정,"11,975",25,+0.21%,"11,995",+31.88%,"34,970",417
KODEX 200exTOP,"15,845",45,+0.28%,"15,874",+35.07%,"7,562",119
KIWOOM KRX100,"6,755",30,+0.45%,"6,781",+30.28%,"3,572",24
RISE 미국휴머노이드로봇,"12,715",105,+0.83%,"12,642",+29.67%,"28,964",368
ACE 2차전지&친환경차액티브,"6,660",120,+1.83%,"6,647",+13.23%,"30,587",202
에셋플러스 코리아대장장이액티..,"15,455",105,+0.68%,"15,440",+29.97%,"6,194",95
RISE 글로벌수소경제,"8,180",225,+2.83%,"8,157",+31.49%,"12,839",104
RISE 테슬라고정테크100,"11,560",80,+0.70%,"11,487",N/A,"32,143",371
ACE TDF2050액티브,"10,610",25,-0.24%,"10,554",+10.55%,"24,855",263
KODEX 구리선물(H),"9,170",155,+1.72%,"9,179",+15.21%,"65,946",601
KODEX 우량주,"10,575",75,+0.71%,"10,601",+27.38%,261,2
KODEX MSCI Korea,"19,590",275,+1.42%,"19,547",+29.55%,"1,115",21
TIGER 퓨처모빌리티액티브,"7,375",180,+2.50%,"7,397",+11.72%,"4,294",31
RISE 배터리 리사이클링,"8,950",115,+1.30%,"8,956",+13.18%,"16,645",148
에셋플러스 글로벌일등기업포커..,"16,760",45,-0.27%,"16,721",+28.58%,663,11
RISE 5대그룹주,"6,690",20,+0.30%,"6,712",+22.81%,"5,437",36
ACE 코스피,"33,270",395,+1.20%,"33,233",+28.51%,"4,125",136
KODEX 코스닥글로벌,"13,305",35,-0.26%,"13,387",+22.16%,367,4
PLUS 글로벌수소&차세대연료전지,"3,625",30,+0.83%,"3,620",+28.62%,"32,266",117
HANARO Fn K-게임,"4,485",10,+0.22%,"4,482",+14.45%,"16,349",73
KODEX 모멘텀주,"18,860",250,+1.34%,"18,879",+33.31%,"17,782",332
RISE 200선물인버스2X,"1,305",20,-1.51%,"1,303",-42.64%,"138,587",180
TIGER 미국캐시카우100,"12,495",15,-0.12%,"12,480",+11.96%,"2,921",36
ITF 200,"43,605",345,+0.80%,"43,620",+31.56%,156,6
ACE 멕시코MSCI(합성),"14,530",75,-0.51%,"14,556",+9.65%,"1,104",16
에셋플러스 글로벌대장장이액티..,"21,005",20,-0.10%,"20,968",+31.65%,382,8
KODEX 유럽명품TOP10 STOXX,"10,015",60,-0.60%,"10,019",+5.60%,"10,364",103
ACE 미국하이일드액티브(H),"9,960",25,+0.25%,"9,898",+3.13%,"18,121",180
HANARO 200 TOP10,"8,910",45,+0.51%,"8,913",+18.80%,129,1
TIGER 글로벌자원생산기업(합성 ..,"15,165",5,-0.03%,"15,331",+8.63%,"2,943",44
마이티 바이오시밀러&CDMO액티브,"10,210",65,-0.63%,"10,206",+8.90%,"4,756",48
KIWOOM 블루칩,"10,510",15,+0.14%,"10,543",+28.16%,505,5
KODEX 미국S&P500필수소비재,"12,000",80,-0.66%,"12,019",-2.30%,"5,339",64
FOCUS ESG리더스,"13,980",30,+0.22%,"14,012",+30.51%,3,0
ACE 미국친환경그린테마INDXX,"9,270",20,+0.22%,"9,308",+18.82%,801,7
TIGER 한중반도체(합성),"16,685",0,0.00%,"16,795",+11.01%,15,0
KODEX iShares미국인플레이션국..,"10,960",30,-0.27%,"10,941",-0.35%,"11,371",124
ACE 글로벌브랜드TOP10블룸버그,"17,815",85,-0.47%,"17,742",+15.06%,711,12
ACE 국고채3년,"103,735",110,+0.11%,"103,732",+0.13%,547,56
TIGER LG그룹+펀더멘털,"7,475",100,+1.36%,"7,469",+24.47%,"26,817",200
RISE 중국MSCI China(H),"10,325",105,+1.03%,"10,344",+13.94%,"8,092",83
RISE 국채30년레버리지(합성),"24,710",90,+0.37%,"24,682",-10.72%,70,1
에셋플러스 글로벌영에이지액티..,"19,835",30,+0.15%,"19,800",+32.25%,307,6
TREX 펀더멘탈 200,"48,890",245,+0.50%,"48,833",+33.43%,2,0
SOL 미국S&P500미국채혼합50,"10,115",20,-0.20%,"10,102",N/A,"123,383","1,249"
TIGER 일본TOPIX(합성 H),"24,270",170,+0.71%,"24,278",+11.01%,684,16
KODEX 가치주,"13,365",50,+0.38%,"13,381",+32.92%,"2,317",30
마이티 코스피100,"33,380",340,+1.03%,"33,357",+30.56%,484,16
파워 고배당저변동성,"44,370",120,-0.27%,"44,411",+34.23%,"3,551",157
RISE 유로스탁스50(H),"14,940",110,-0.73%,"14,989",+8.66%,"34,750",519
HANARO KOFR금리액티브(합성),"108,275",30,+0.03%,"108,268",+0.65%,1,0
TIGER 차이나항셍30,"21,605",85,+0.39%,"21,623",+10.16%,"3,347",72
SOL 국제금,"9,900",70,+0.71%,"9,867",N/A,"90,591",894
PLUS 200선물레버리지,"47,005",690,+1.49%,"46,963",+71.06%,897,42
KODEX 미국S&P500경기소비재,"16,725",115,+0.69%,"16,716",+16.59%,731,12
TIGER 탄소효율그린뉴딜,"10,635",65,+0.61%,"10,676",+29.19%,"15,912",169
KIWOOM 물가채KIS,"116,910",90,+0.08%,"116,867",-0.70%,170,19
HK 베스트일레븐액티브,"12,260",215,+1.78%,"12,291",+25.47%,14,0
KIWOOM 미국달러선물인버스2X,"4,810",30,+0.63%,"4,845",+2.03%,"2,852",13
ACE 코리아밸류업,"12,870",75,+0.59%,"12,880",+31.08%,"2,837",36
KODEX 운송,"6,085",105,-1.70%,"6,093",+26.12%,"45,275",275
TIGER 차이나CSI300인버스(합성),"7,215",5,+0.07%,"7,229",-5.32%,274,1
KIWOOM 200선물레버리지,"23,000",325,+1.43%,"22,977",+70.75%,"53,111","1,218"
HANARO 미국S&P500,"16,375",60,-0.37%,"16,331",+15.93%,"1,840",30
PLUS 미국테크TOP10,"19,100",20,+0.10%,"19,068",+31.67%,"5,347",102
ACE 애플밸류체인액티브,"10,865",5,+0.05%,"10,833",+25.12%,"13,401",145
TIGER MKF배당귀족,"16,280",110,-0.67%,"16,307",+25.99%,"4,597",74
KODEX 기후변화솔루션,"12,550",275,+2.24%,"12,590",+34.76%,"10,135",127
KoAct 브로드컴밸류체인액티브,"11,885",25,+0.21%,"11,850",N/A,"10,841",128
ACE 인도시장대표BIG5그룹액티브,"8,675",25,-0.29%,"8,696",+3.39%,"10,197",88
PLUS 글로벌휴머노이드로봇액티..,"11,805",100,+0.85%,"11,876",+18.95%,"16,428",194
RISE 중소형고배당,"15,825",50,-0.31%,"15,863",+36.71%,"9,442",149
KODEX 미국S&P500커뮤니케이션,"16,905",50,-0.29%,"16,860",+15.10%,"1,159",19
KODEX 대만테크고배당다우존스,"9,960",0,0.00%,"9,948",+19.57%,"2,781",27
TIGER S&P글로벌인프라(합성),"15,640",30,+0.19%,"15,841",+4.68%,790,12
RISE 국채선물10년,"55,605",90,+0.16%,"55,650",-1.94%,820,45
ACE 삼성그룹동일가중,"21,605",15,+0.07%,"21,664",+31.01%,"2,641",57
ACE 골드선물 레버리지(합성 H),"35,865",675,+1.92%,"35,979",-3.56%,"3,861",137
TIGER 코리아테크액티브,"10,750",25,+0.23%,"10,768",+36.71%,"2,296",24
TIMEFOLIO K이노베이션액티브,"8,930",20,-0.22%,"8,974",+18.78%,"6,936",62
ACE 장기자산배분액티브,"10,710",25,+0.23%,"10,678",+13.07%,307,3
VITA 밸류알파액티브,"15,300",65,+0.43%,"15,366",+18.84%,"16,456",252
HANARO 주주가치성장코리아액티..,"13,330",115,+0.87%,"13,363",+35.82%,"2,000",26
PLUS 고배당저변동50,"16,370",65,-0.40%,"16,315",+29.54%,"16,234",264
ITF K-AI반도체코어테크,"12,455",40,+0.32%,"12,516",+35.08%,"6,870",85
에셋플러스 인도일등기업포커스2..,"10,800",20,+0.19%,"10,781",+3.90%,"1,608",17
RISE 미국S&P500엔화노출(합성 H..,"10,580",60,+0.57%,"10,603",+10.04%,278,2
PLUS 미국양자컴퓨팅TOP10,"14,070",20,-0.14%,"14,055",+54.58%,"25,904",364
HK S&P코리아로우볼,"16,595",0,0.00%,"16,717",+26.53%,0,0
ACE BYD밸류체인액티브,"10,440",25,+0.24%,"10,416",N/A,"462,410","4,850"
TIGER 코스피대형주,"16,055",115,+0.72%,"16,085",+28.72%,"17,754",284
ACE TDF2030액티브,"10,425",5,+0.05%,"10,377",+6.00%,"6,297",65
SOL KRX300,"20,685",105,+0.51%,"20,752",+29.82%,3,0
TIMEFOLIO K신재생에너지액티브,"14,675",430,+3.02%,"14,681",+31.78%,"11,256",163
TIGER 이머징마켓MSCI레버리지(..,"9,685",135,+1.41%,"9,781",+33.57%,406,3
TIGER KRX300,"20,500",200,+0.99%,"20,513",+29.93%,"1,021",20
PLUS S&P글로벌인프라,"18,480",150,+0.82%,"18,538",+4.17%,"7,017",129
KODEX 한중반도체(합성),"16,920",65,-0.38%,"17,003",+11.45%,40,0
SOL 머니마켓액티브,"51,740",5,+0.01%,"51,738",+0.61%,"7,317",378
KODEX 혁신기술테마액티브,"16,890",125,+0.75%,"16,888",+25.53%,838,14
RISE 미국천연가스밸류체인,"10,110",70,-0.69%,"10,111",N/A,"4,318",43
PLUS ESG성장주액티브,"10,630",20,+0.19%,"10,610",+28.43%,64,0
KODEX 미국클린에너지나스닥,"6,730",105,+1.58%,"6,728",+33.97%,"26,198",176
PLUS K리츠,"6,690",10,+0.15%,"6,695",+1.66%,"3,690",24
HANARO 글로벌금채굴기업,"18,115",190,-1.04%,"18,356",-1.00%,"3,383",61
ACE 미국부동산리츠(합성 H),"82,345",5,+0.01%,"82,438",+3.49%,172,14
PLUS 차이나AI테크TOP10,"10,340",120,+1.17%,"10,360",N/A,"15,488",160
KIWOOM 미국달러SOFR금리액티브(..,"12,080",35,-0.29%,"12,070",-0.53%,234,2
RISE 미국양자컴퓨팅,"13,940",10,-0.07%,"13,939",+54.06%,"25,133",349
KIWOOM 코스피100,"32,430",260,+0.81%,"32,452",+30.57%,"2,508",81
KODEX 미국스마트모빌리티S&P,"6,485",35,+0.54%,"6,472",+35.79%,"9,410",60
WON 한국부동산TOP3플러스,"9,690",55,-0.56%,"9,748",+1.86%,"1,495",14
RISE TDF2040액티브,"13,695",35,+0.26%,"13,667",+10.03%,"6,618",90
WON AI ESG액티브,"11,930",80,+0.68%,"11,908",+31.16%,"5,901",70
HANARO 탄소효율그린뉴딜,"10,580",80,+0.76%,"10,556",+29.36%,"2,239",23
PLUS 미국S&P500미국채혼합50액..,"10,565",35,-0.33%,"10,535",N/A,"28,128",297
TIGER 금은선물(H),"14,570",135,+0.94%,"14,507",-0.31%,"14,192",206
TIGER 미국달러선물레버리지,"15,725",115,-0.73%,"15,706",-2.64%,"1,338",21
KoAct 글로벌양자컴퓨팅액티브,"14,495",45,-0.31%,"14,451",+61.56%,"25,441",368
RISE 주식혼합,"46,585",0,0.00%,"46,706",+21.54%,339,15
KoAct 글로벌친환경전력인프라액..,"18,495",430,+2.38%,"18,415",+37.95%,"7,483",138
KODEX 아시아AI반도체exChina액..,"18,485",90,-0.48%,"18,627",+32.19%,82,1
TIGER MSCI KOREA ESG리더스,"11,380",80,+0.71%,"11,403",+38.80%,"3,853",43
KODEX 멀티팩터,"15,360",0,0.00%,"15,442",+28.96%,0,0
SOL 미국500타겟커버드콜액티브,"10,185",5,-0.05%,"10,184",+15.94%,"94,579",966
RISE 테슬라애플아마존채권혼합,"15,255",160,+1.06%,"15,165",+6.64%,"7,593",115
KODEX KTOP30,"18,210",75,+0.41%,"18,226",+23.82%,"2,960",53
HANARO 글로벌워터MSCI(합성),"15,110",45,+0.30%,"15,045",+9.25%,367,5
SOL 국고채30년액티브,"56,185",130,+0.23%,"56,171",-4.96%,187,10
TIGER 200 생활소비재,"11,815",20,-0.17%,"11,836",+30.23%,"11,321",133
KIWOOM K-테크TOP10,"12,800",50,+0.39%,"12,799",+31.00%,"2,733",34
KODEX 모멘텀Plus,"14,900",15,-0.10%,"14,926",+21.33%,552,8
KODEX K-뉴딜디지털플러스,"8,075",50,+0.62%,"8,096",+16.47%,"4,334",35
BNK 미래전략기술액티브,"14,720",90,+0.62%,"14,709",+31.15%,"1,021",14
KODEX MSCI KOREA ESG유니버설,"12,600",20,+0.16%,"12,646",+32.69%,13,0
TIGER 우량가치,"16,300",5,+0.03%,"16,283",+38.87%,"8,209",133
ACE 미국중심중소형제조업,"9,750",50,-0.51%,"9,739",+25.24%,"11,006",107
HANARO 바이오코리아액티브,"12,530",230,-1.80%,"12,525",+15.32%,"20,280",253
TREX 200,"43,700",330,+0.76%,"43,728",+31.28%,32,1
KODEX 200동일가중,"14,360",160,+1.13%,"14,318",+32.11%,771,10
RISE 미국은행TOP10,"10,135",75,+0.75%,"10,118",+25.99%,"13,260",134
TIGER 미국소비트렌드액티브,"8,590",40,+0.47%,"8,639",+13.40%,214,1
SOL 글로벌탄소배출권선물ICE(합..,"12,145",80,-0.65%,"12,196",+6.07%,"1,370",16
에셋플러스 글로벌다이나믹시니..,"16,280",35,-0.21%,"16,263",+19.48%,22,0
마이다스 중소형액티브,"28,160",145,+0.52%,"28,196",+31.06%,142,3
TIGER 미국S&P500선물인버스(H),"2,740",5,+0.18%,"2,736",-15.59%,"36,844",100
PLUS 코스피,"33,175",140,+0.42%,"33,211",+28.41%,886,29
RISE 인도디지털성장,"10,340",5,-0.05%,"10,350",+7.82%,"2,538",26
SOL 200 Top10,"9,140",75,+0.83%,"9,134",+18.56%,760,6
RISE V&S셀렉트밸류,"16,430",80,+0.49%,"16,498",+25.32%,5,0
FOCUS 알리바바미국채커버드콜혼..,"10,260",70,+0.69%,"10,289",N/A,"5,566",57
TIGER 유로스탁스레버리지(합성 ..,"12,625",10,+0.08%,"12,650",+18.28%,553,6
RISE 글로벌데이터센터리츠(합성..,"12,560",90,-0.71%,"12,612",+10.05%,"9,137",115
TIGER 단기선진하이일드(합성 H),"13,600",30,+0.22%,"13,521",+5.03%,"1,674",22
HANARO Fn5G산업,"14,765",75,+0.51%,"14,771",+25.75%,218,3
SOL 미국S&P500엔화노출(H),"10,110",15,+0.15%,"10,151",+9.96%,"1,719",17
RISE KQ고배당,"13,455",5,-0.04%,"13,466",+19.38%,537,7
TIGER MSCI KOREA ESG유니버설,"12,775",135,+1.07%,"12,791",+31.63%,8,0
TIGER 경기방어채권혼합,"10,025",5,-0.05%,"10,045",+5.46%,"8,154",81
HANARO KRX300,"19,960",0,0.00%,"20,057",+30.38%,52,1
RISE 우량업종대표주,"15,950",90,+0.57%,"15,975",+32.13%,168,2
ACE 일라이릴리밸류체인,"9,930",70,-0.70%,"9,934",-0.30%,790,7
SOL 자동차소부장Fn,"9,295",10,+0.11%,"9,324",+13.91%,"5,403",50
ACE 글로벌빅파마,"9,755",120,-1.22%,"9,819",-0.44%,"2,740",26
SOL 차이나육성산업액티브(합성),"7,645",15,+0.20%,"7,782",-1.74%,"3,412",26
TIGER 원유선물인버스(H),"2,595",20,+0.78%,"2,600",-12.71%,"14,271",36
KIWOOM 미국원유에너지기업,"11,040",85,-0.76%,"11,015",+4.92%,"5,540",61
마이다스 일본테크액티브,"23,600",70,-0.30%,"23,699",+16.43%,285,6
KIWOOM Fn유전자혁신기술,"10,130",160,-1.55%,"10,154",+11.61%,594,6
SOL KRX기후변화솔루션,"12,630",295,+2.39%,"12,662",+34.41%,"1,697",21
KODEX 코스닥150롱코스피200숏선..,"8,360",60,-0.71%,"8,338",-11.13%,"7,529",63
RISE 미국장기국채선물(H),"8,350",25,+0.30%,"8,362",-1.60%,"1,799",15
KIWOOM K-2차전지북미공급망,"8,310",245,+3.04%,"8,341",+28.30%,"12,946",107
KIWOOM TDF2050액티브,"14,950",10,+0.07%,"14,881",+11.28%,"5,106",76
PLUS 주도업종,"13,410",155,+1.17%,"13,404",+24.08%,611,8
KIWOOM TDF2040액티브,"14,720",40,+0.27%,"14,639",+9.92%,"5,143",75
RISE KRX300,"21,020",125,+0.60%,"21,065",+29.89%,137,2
HANARO Fn친환경에너지,"7,745",315,+4.24%,"7,725",+23.71%,"53,199",408
PLUS 미국AI에이전트,"9,765",25,+0.26%,"9,757",N/A,"1,010",9
TIGER 미국나스닥넥스트100,"14,450",50,+0.35%,"14,417",+16.72%,67,0
RISE TDF2030액티브,"13,100",5,+0.04%,"13,108",+6.81%,"6,964",91
PLUS 글로벌HBM반도체,"20,570",30,+0.15%,"20,625",+38.97%,"2,949",60
SOL 유럽탄소배출권선물S&P(H),"10,280",5,-0.05%,"10,245",+6.75%,171,1
TIGER 로우볼,"17,110",210,-1.21%,"17,162",+34.05%,998,17
TIGER 200커버드콜OTM,"14,350",110,+0.77%,"14,393",+17.67%,"1,664",23
RISE 미국반도체인버스(합성 H),"15,945",5,-0.03%,"15,994",-33.58%,385,6
PLUS 글로벌AI인프라,"14,195",35,-0.25%,"14,272",+43.03%,"3,848",54
TIGER 한중전기차(합성),"8,345",75,+0.91%,"8,518",+9.97%,"25,539",212
RISE 글로벌클린에너지,"7,025",40,+0.57%,"7,081",+16.81%,"9,925",70
TIGER KRX기후변화솔루션,"12,770",325,+2.61%,"12,764",+34.67%,"3,618",46
PLUS 국채선물10년,"56,400",140,+0.25%,"56,443",-2.03%,235,13
KoAct AI인프라액티브,"10,640",60,+0.57%,"10,677",+37.76%,"18,089",192
TIGER KTOP30,"9,195",30,+0.33%,"9,194",+23.83%,"8,258",75
KODEX 코리아혁신성장액티브,"13,700",125,+0.92%,"13,730",+26.94%,"1,068",14
HANARO 글로벌반도체TOP10 SOLAC..,"19,370",160,-0.82%,"19,414",+44.11%,"11,375",221
KIWOOM TDF2030액티브,"13,550",55,-0.40%,"13,560",+6.46%,"2,242",30
